t_start,t_end,duration_s,alt_gain_m,climb_rate_ms,lat,lon,cluster_id
22131,22151,20,44,2.2,-30.388166666666667,117.09042222222223,67
22595,22703,108,347,3.212962962962963,-30.495478571428567,117.26875238095238,68
22715,22791,76,214,2.8157894736842106,-30.49796916666667,117.26884999999997,69
22795,22827,32,61,1.90625,-30.499122222222223,117.26845,70
23039,23095,56,211,3.767857142857143,-30.55484444444444,117.34054444444448,71
23099,23139,40,81,2.025,-30.554528787878784,117.34105,72
23395,23451,56,219,3.9107142857142856,-30.62427888888889,117.41706111111112,73
23455,23535,80,205,2.5625,-30.625419841269842,117.41636507936508,74
23815,23843,28,75,2.6785714285714284,-30.68064791666667,117.48763541666668,75
23851,23891,40,69,1.725,-30.67972575757576,117.49017272727271,76
24071,24103,32,83,2.59375,-30.72747037037037,117.54400370370371,77
24115,24199,84,231,2.75,-30.727384090909087,117.54393484848487,78
24219,24251,32,81,2.53125,-30.72772777777778,117.5466351851852,79
24255,24351,96,218,2.2708333333333335,-30.728137999999998,117.54776533333332,80
24619,24639,20,71,3.55,-30.79245,117.6545,81
24855,24919,64,148,2.3125,-30.854692156862743,117.72218137254902,82
24971,25155,184,546,2.967391304347826,-30.859474822695038,117.72839078014182,83
25515,25539,24,50,2.0833333333333335,-30.94709047619048,117.85433095238098,84
25543,25563,20,41,2.05,-30.94609166666667,117.853925,85
25571,25615,44,99,2.25,-30.94378472222222,117.8541763888889,86
25635,25655,20,36,1.8,-30.943252777777776,117.85374444444444,87
25663,25799,136,376,2.764705882352941,-30.939095238095238,117.85247714285714,88
26063,26239,176,446,2.534090909090909,-31.008312962962965,117.9200303703704,89
26247,26267,20,49,2.45,-31.007622222222224,117.920125,90
26275,26331,56,107,1.9107142857142858,-31.007571111111112,117.92077444444446,91
26335,26367,32,59,1.84375,-31.007724074074076,117.92065185185184,92
26467,26711,244,821,3.3647540983606556,-31.035698924731182,117.96412795698923,93
26819,26891,72,212,2.9444444444444446,-31.067798245614032,118.00458245614037,94
27179,27363,184,479,2.6032608695652173,-31.145444326241137,118.10591737588653,95
27591,27623,32,85,2.65625,-31.191192592592593,118.2054648148148,96
27627,27695,68,188,2.764705882352941,-31.19151666666667,118.20673796296296,97
27699,27779,80,207,2.5875,-31.190708730158732,118.20718412698413,98
27819,27843,24,44,1.8333333333333333,-31.19929761904762,118.22757380952382,99
28035,28059,24,51,2.125,-31.260392857142858,118.30935952380953,100
28063,28103,40,83,2.075,-31.265460606060607,118.31205303030302,101
28107,28135,28,51,1.8214285714285714,-31.263114583333333,118.31181875,102
28443,28755,312,859,2.753205128205128,-31.332864767932485,118.41832974683541,103
28867,28899,32,135,4.21875,-31.35812037037037,118.45045740740741,104
28907,28963,56,128,2.2857142857142856,-31.358794444444438,118.4493188888889,105
29319,29355,36,63,1.75,-31.44267,118.38497833333334,106
29503,29543,40,84,2.1,-31.46506515151515,118.3316606060606,107
29571,29603,32,60,1.875,-31.470355555555557,118.32639074074073,108
