lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s,circle_id,seg_id,avg_speed_kmh,turn_radius_m,circle_diameter_m,bank_angle_deg,bank_std_deg,bank_range_deg,bank_masd_deg
-32.34927666666667,116.99501388888888,3211.0,3240.0,0.9176863181312542,26.612903225806374,29.0,42,,105.85705539469672,135.71737088592735,271.4347417718547,33.00077190015945,12.652007150052071,49.30517480049815,9.992076359316211
-32.34928611111111,116.99288333333334,3240.0,3263.0,1.5508695652173785,35.6699999999997,23.0,44,,104.61752097455482,106.37752742604725,212.7550548520945,38.981659989765575,5.760139533979577,22.985914649097356,5.846181770043518
-32.34909652777778,116.99169166666665,3263.0,3286.0,1.5860869565217335,36.47999999999987,23.0,46,,105.33857261864988,107.11070950043396,214.2214190008679,39.17424178612253,7.3132882791448,27.65697878563857,8.52292361934526
-32.34929191919191,116.99085757575757,3286.0,3318.0,1.0962566844919392,35.080213903742056,32.0,48,,102.94363827266417,145.63545680852022,291.27091361704043,29.78444834753247,11.742736495904088,44.26409771645927,11.108533029727313
-32.434432666666666,117.02504133333333,3841.0,3865.0,1.6069230769230671,38.56615384615361,24.0,50,,107.05030631168984,113.58390272671309,227.16780545342618,38.43444780981033,10.380192370956188,42.16161825017362,10.65822739444239
-32.43447716049383,117.02327469135801,3865.0,3891.0,1.6465201465201607,42.80952380952418,26.0,52,,106.4568301009869,122.36705531892214,244.73411063784428,36.07201863672521,14.594957108779072,53.7324296966802,11.829937535774372
-32.434135185185184,117.0217,3891.0,3917.0,1.6630036630036615,43.2380952380952,26.0,54,,100.60600806923892,115.64181408695129,231.28362817390257,34.54463736558378,9.312484891290023,39.51241950085351,8.185750180616942
-32.43472,117.02130944444443,3917.0,3946.0,0.9176863181312445,26.61290322580609,29.0,56,,98.58477047940245,126.39370903498026,252.78741806996052,31.166040061852545,12.137465346828263,53.668870766803096,7.5013755997619835
-32.43547564102564,117.02093525641024,3946.0,3971.0,1.3883760683761104,34.70940170940276,25.0,58,,103.45446385988286,114.34228686265416,228.68457372530833,36.361871825386935,7.096621401950482,32.171983564031216,8.031665480700534
-32.43652204301075,117.02036344086022,3971.0,4001.0,0.8532258064516335,25.596774193549006,30.0,60,,103.05176311706929,136.67664578680535,273.3532915736107,31.430877707670234,14.29720278818691,53.677784559453364,8.056870634793333
-32.48557258064516,117.05359623655913,4268.0,4298.0,2.5673387096774603,77.02016129032381,30.0,62,,108.36254578142666,143.72029005946553,287.44058011893105,32.726335178576306,6.201194798795075,23.07267231437474,6.229910670251202
-32.48495698924731,117.05157849462366,4333.0,4363.0,0.6112903225806416,18.33870967741925,30.0,64,,108.15844012091206,143.44958651959942,286.89917303919884,32.67722553642087,8.762398152125355,37.59835526234883,9.771279176591193
