x_bin,count,mean,median,p95,x_mid
"[14.18,14.42)",12.0,66.89743207867853,71.78558153148376,79.6346773393328,14.300369075528344
"[14.42,14.65)",6.0,59.9179074412455,68.02668254574488,76.70343059761029,14.536738812313935
"[14.65,14.89)",9.0,63.815595427060465,59.21487829883076,81.03866702179597,14.773108549099529
"[14.89,15.13)",4.0,63.00758550941624,66.56438284606502,75.82088527209993,15.00947828588512
"[15.13,15.36)",10.0,78.61096567675551,80.79767224857191,82.38315306781081,15.245848022670714
"[15.36,15.60)",7.0,73.88230009726036,79.61456491762378,82.07899046110776,15.482217759456304
"[15.60,15.84)",15.0,80.3013360495097,80.67524465547484,84.46645045003514,15.718587496241899
"[15.84,16.07)",5.0,73.77019043534305,78.72397756095964,83.40700372699425,15.954957233027491
"[16.07,16.31)",10.0,78.02748853218847,84.26353382874127,85.21703839541125,16.191326969813083
"[16.31,16.55)",14.0,81.82696977137492,83.64021410543754,86.56135799819991,16.427696706598674
"[16.55,16.78)",17.0,74.61749074312827,78.96774508365745,86.94439552265942,16.664066443384264
"[16.78,17.02)",14.0,82.21230189134054,82.81895444358042,85.95050959735518,16.900436180169862
"[17.02,17.25)",17.0,81.86170068092616,84.43723040572382,88.18122045691165,17.136805916955453
"[17.25,17.49)",20.0,82.55917506288822,84.46455356658223,88.17376735307977,17.373175653741043
"[17.49,17.73)",26.0,84.65059393646521,86.59260618098006,89.50825421527026,17.609545390526634
"[17.73,17.96)",23.0,86.17819742382194,86.98189098895638,90.41323994060525,17.84591512731223
"[17.96,18.20)",35.0,83.78331274324859,86.22009091442891,90.2270921966379,18.082284864097822
"[18.20,18.44)",37.0,86.60405577602614,89.24306395691144,91.45420572652142,18.318654600883413
"[18.44,18.67)",62.0,86.79415222973466,90.05812018575185,91.96897323437383,18.555024337669003
"[18.67,18.91)",57.0,87.30403572721961,89.71366717926304,92.25510091422707,18.7913940744546
"[18.91,19.15)",68.0,89.69542922461835,91.2672282359808,93.34308835398714,19.02776381124019
"[19.15,19.38)",86.0,89.12433618851466,90.07217400026559,94.0653817224395,19.264133548025782
"[19.38,19.62)",61.0,89.32443360257629,89.99932273444816,94.00901705200032,19.500503284811373
"[19.62,19.86)",92.0,91.00198417494015,91.76139229943391,95.20204446671953,19.73687302159697
"[19.86,20.09)",88.0,89.8663846620827,90.89753072779766,95.79438771665481,19.97324275838256
"[20.09,20.33)",89.0,91.13038178074078,91.3907568735379,95.46078062867548,20.20961249516815
"[20.33,20.56)",147.0,91.00732128424853,92.23733580232218,96.74681672034208,20.445982231953742
"[20.56,20.80)",153.0,92.60406951842782,93.56052274731866,97.9228455316129,20.68235196873934
"[20.80,21.04)",197.0,91.5916609865997,94.00433814650562,97.17703104920734,20.91872170552493
"[21.04,21.27)",198.0,92.802995763783,95.2115856749407,98.17044742218462,21.15509144231052
"[21.27,21.51)",224.0,94.57609899804349,96.6451911603565,99.39131294476287,21.391461179096112
"[21.51,21.75)",306.0,94.18612911618332,95.78814975007805,100.14593292419639,21.62783091588171
"[21.75,21.98)",303.0,94.58888162981012,96.47705819626012,99.66273191560066,21.8642006526673
"[21.98,22.22)",382.0,95.79290371168587,96.31558309961149,100.91019746328053,22.10057038945289
"[22.22,22.46)",401.0,95.80013963075427,96.5807822585194,102.01301806010956,22.33694012623848
"[22.46,22.69)",399.0,95.32561281558344,95.50276461570436,102.64049166274705,22.57330986302408
"[22.69,22.93)",380.0,94.88816680400608,94.84313908860491,101.88090600068752,22.80967959980967
"[22.93,23.16)",457.0,95.74369633339343,95.83670637032807,102.90539003613637,23.04604933659526
"[23.16,23.40)",493.0,96.76537711860261,96.88470165751322,104.08097845875707,23.28241907338085
"[23.40,23.64)",586.0,96.4940326169855,97.68670471362903,103.25929209643724,23.51878881016645
"[23.64,23.87)",582.0,97.15685155213605,98.70495880271366,103.97029603315362,23.75515854695204
"[23.87,24.11)",703.0,98.15471652717535,99.83613954405436,105.10822941118182,23.99152828373763
"[24.11,24.35)",790.0,98.05740423133187,99.16876079890233,106.23302653352403,24.22789802052322
"[24.35,24.58)",885.0,99.07504497787626,101.8230444548214,107.32872033099906,24.464267757308818
"[24.58,24.82)",826.0,98.53114021655773,100.57733752111344,105.98927835353423,24.70063749409441
"[24.82,25.06)",1024.0,99.10952535266568,99.71493332638248,106.9185827598715,24.93700723088
"[25.06,25.29)",1136.0,99.70045595264776,100.37685246172961,108.08473063031317,25.17337696766559
"[25.29,25.53)",1313.0,100.22283222990437,101.29422901204516,109.03959740517134,25.409746704451187
"[25.53,25.76)",1397.0,100.40545363905395,100.11026000170256,108.37210747005444,25.646116441236778
"[25.76,26.00)",1402.0,101.26538599165681,100.9825300846135,109.45026172369796,25.88248617802237
"[26.00,26.24)",1561.0,101.45546376938462,101.58917520698104,110.57161282572912,26.11885591480796
"[26.24,26.47)",1722.0,102.26650402056539,100.68691575333631,111.74046994030849,26.355225651593557
"[26.47,26.71)",1847.0,102.98576572679134,101.69406121624512,112.87803963689683,26.591595388379147
