x_bin,count,mean,median,std,p95,x_mid
"[27.24,27.47)",,,,,,27.35666082811767
"[27.47,27.71)",,,,,,27.589483473463346
"[27.71,27.94)",,,,,,27.82230611880903
"[27.94,28.17)",43230.0,110.86010555958316,109.59198882285472,12.402074585387652,132.6204109173952,28.055128764154713
"[28.17,28.40)",,,,,,28.287951409500394
"[28.40,28.64)",,,,,,28.52077405484608
"[28.64,28.87)",,,,,,28.75359670019176
"[28.87,29.10)",12177.0,112.26914935937565,111.232253245561,12.793062866844133,134.60605081885524,28.986419345537442
"[29.10,29.34)",,,,,,29.219241990883127
"[29.34,29.57)",,,,,,29.452064636228805
"[29.57,29.80)",,,,,,29.68488728157449
"[29.80,30.03)",15423.0,111.17906845494242,110.15406166079306,12.337202269380576,133.41377557881378,29.91770992692017
"[30.03,30.27)",,,,,,30.150532572265853
"[30.27,30.50)",,,,,,30.383355217611538
"[30.50,30.73)",,,,,,30.61617786295722
"[30.73,30.97)",,,,,,30.8490005083029
"[30.97,31.20)",9108.0,112.105471369581,111.34291414711892,12.390451115535244,133.72038518290523,31.081823153648585
"[31.20,31.43)",,,,,,31.314645798994263
"[31.43,31.66)",,,,,,31.54746844433995
"[31.66,31.90)",,,,,,31.78029108968563
"[31.90,32.13)",35253.0,113.16505601726148,112.85705942535,11.812099870802768,132.68823090484074,32.01311373503131
"[32.13,32.36)",,,,,,32.245936380376996
"[32.36,32.60)",,,,,,32.47875902572268
"[32.60,32.83)",,,,,,32.71158167106836
"[32.83,33.06)",10748.0,112.06508870055112,112.2302439457207,11.039445285333644,130.50636850957534,32.94440431641404
"[33.06,33.29)",,,,,,33.17722696175973
"[33.29,33.53)",,,,,,33.41004960710541
"[33.53,33.76)",,,,,,33.642872252451085
"[33.76,33.99)",,,,,,33.87569489779677
"[33.99,34.22)",6925.0,110.60995259402063,110.488157148022,11.092039198148655,128.59845230513733,34.108517543142455
"[34.22,34.46)",,,,,,34.34134018848813
"[34.46,34.69)",,,,,,34.57416283383382
"[34.69,34.92)",,,,,,34.8069854791795
"[34.92,35.16)",6097.0,109.77094730775461,110.06626979852916,10.24950635164104,126.1396534235786,35.03980812452518
"[35.16,35.39)",,,,,,35.272630769870865
"[35.39,35.62)",,,,,,35.50545341521655
"[35.62,35.85)",,,,,,35.73827606056223
"[35.85,36.09)",18105.0,111.00423745629524,111.96852519830566,9.24740956488872,124.10467619807754,35.97109870590791
"[36.09,36.32)",,,,,,36.2039213512536
"[36.32,36.55)",,,,,,36.436743996599276
"[36.55,36.79)",,,,,,36.669566641944954
"[36.79,37.02)",4179.0,108.80182953227587,109.8985179764444,8.814208409589554,120.88385997538431,36.902389287290646
"[37.02,37.25)",,,,,,37.135211932636324
"[37.25,37.48)",,,,,,37.368034577982
"[37.48,37.72)",,,,,,37.60085722332769
"[37.72,37.95)",,,,,,37.83367986867337
"[37.95,38.18)",3462.0,107.37392540624948,108.59038623081736,8.159675225293212,118.04220403154278,38.06650251401905
"[38.18,38.42)",,,,,,38.299325159364734
"[38.42,38.65)",,,,,,38.53214780471042
"[38.65,38.88)",,,,,,38.7649704500561
