x_bin,count,mean,median,p95,x_mid
"[33.56,33.80)",4962.0,28.976219266424827,28.0,33.0,33.682687491946915
"[33.80,34.04)",5138.0,28.851304009342158,28.0,33.0,33.91905722873251
"[34.04,34.27)",5357.0,28.661190965092402,28.0,33.0,34.1554269655181
"[34.27,34.51)",5258.0,28.48212248003043,28.0,33.0,34.391796702303694
"[34.51,34.75)",5415.0,28.34145891043398,28.0,32.0,34.628166439089284
"[34.75,34.98)",5343.0,28.1259591989519,28.0,32.0,34.86453617587488
"[34.98,35.22)",5176.0,27.90436630602782,28.0,32.0,35.10090591266047
"[35.22,35.46)",5281.0,27.692293126301838,28.0,32.0,35.33727564944606
"[35.46,35.69)",5179.0,27.556478084572312,28.0,32.0,35.573645386231654
"[35.69,35.93)",5119.0,27.387184997069742,28.0,32.0,35.81001512301725
"[35.93,36.16)",5097.0,27.20011771630371,27.0,32.0,36.04638485980284
"[36.16,36.40)",4979.0,27.046997389033944,27.0,32.0,36.28275459658843
"[36.40,36.64)",4826.0,26.81744716121011,27.0,32.0,36.51912433337402
"[36.64,36.87)",4806.0,26.56928838951311,27.0,32.0,36.75549407015962
"[36.87,37.11)",4708.0,26.46410365335599,26.0,32.0,36.99186380694521
"[37.11,37.35)",4709.0,26.258866001274157,26.0,31.0,37.2282335437308
"[37.35,37.58)",4570.0,26.090809628008753,26.0,31.0,37.46460328051639
"[37.58,37.82)",4401.0,25.97523290161327,26.0,31.0,37.70097301730199
"[37.82,38.06)",4362.0,25.751490142136635,25.0,30.0,37.93734275408758
"[38.06,38.29)",4204.0,25.580637488106564,25.0,30.0,38.17371249087317
"[38.29,38.53)",4289.0,25.293541618092796,25.0,29.0,38.41008222765876
"[38.53,38.76)",4083.0,25.08449669360764,25.0,29.0,38.64645196444436
"[38.76,39.00)",4077.0,25.036791758646064,25.0,29.0,38.88282170122995
"[39.00,39.24)",3983.0,24.75646497614863,24.0,29.0,39.11919143801554
"[39.24,39.47)",3846.0,24.568122724908996,24.0,29.0,39.35556117480113
"[39.47,39.71)",3815.0,24.376933158584535,24.0,28.0,39.59193091158673
"[39.71,39.95)",3657.0,24.26059611703582,24.0,28.0,39.82830064837232
"[39.95,40.18)",3533.0,24.06396829889612,24.0,28.0,40.06467038515791
"[40.18,40.42)",3435.0,23.921397379912662,24.0,28.0,40.3010401219435
"[40.42,40.66)",3361.0,23.72240404641476,24.0,28.0,40.5374098587291
"[40.66,40.89)",3244.0,23.689272503082613,24.0,28.0,40.77377959551469
"[40.89,41.13)",3136.0,23.525829081632654,24.0,28.0,41.01014933230028
"[41.13,41.36)",2934.0,23.40081799591002,24.0,28.0,41.24651906908587
"[41.36,41.60)",2810.0,23.20320284697509,23.0,28.0,41.48288880587147
"[41.60,41.84)",2792.0,23.10279369627507,23.0,27.0,41.71925854265706
"[41.84,42.07)",2591.0,22.961018911617135,23.0,27.0,41.95562827944265
"[42.07,42.31)",2594.0,22.96106399383192,23.0,27.0,42.19199801622824
"[42.31,42.55)",2406.0,22.63715710723192,23.0,27.0,42.42836775301384
"[42.55,42.78)",2305.0,22.604338394793928,23.0,27.0,42.66473748979943
"[42.78,43.02)",2252.0,22.42229129662522,22.0,27.0,42.90110722658502
"[43.02,43.26)",2182.0,22.250229147571037,22.0,26.0,43.13747696337061
"[43.26,43.49)",2006.0,22.123629112662012,22.0,26.0,43.37384670015621
"[43.49,43.73)",1939.0,22.09489427539969,22.0,26.0,43.6102164369418
"[43.73,43.96)",1872.0,21.838675213675213,22.0,25.0,43.84658617372739
"[43.96,44.20)",1872.0,21.751602564102566,21.0,26.0,44.08295591051298
"[44.20,44.44)",1733.0,21.623196768609347,21.0,25.0,44.31932564729858
"[44.44,44.67)",1611.0,21.54810676598386,21.0,25.0,44.55569538408417
"[44.67,44.91)",1520.0,21.330921052631577,21.0,25.0,44.79206512086976
"[44.91,45.15)",1515.0,21.26732673267327,21.0,25.0,45.02843485765535
