x_bin,count,mean,median,p95,x_mid
"[81.64,82.14)",61.0,30.475409836065573,29.0,45.0,81.88778058605283
"[82.14,82.63)",71.0,29.211267605633804,28.0,44.0,82.3825708010743
"[82.63,83.12)",87.0,28.724137931034484,28.0,41.7,82.87736101609576
"[83.12,83.62)",133.0,29.36842105263158,28.0,44.79999999999998,83.37215123111723
"[83.62,84.11)",138.0,30.57246376811594,28.0,48.0,83.8669414461387
"[84.11,84.61)",196.0,30.142857142857142,28.5,48.0,84.36173166116016
"[84.61,85.10)",217.0,29.10599078341014,28.0,45.0,84.85652187618163
"[85.10,85.60)",271.0,28.948339483394832,28.0,42.5,85.3513120912031
"[85.60,86.09)",335.0,29.629850746268655,28.0,43.30000000000001,85.84610230622457
"[86.09,86.59)",416.0,28.891826923076923,28.0,42.0,86.34089252124603
"[86.59,87.08)",513.0,29.091617933723196,28.0,44.0,86.8356827362675
"[87.08,87.58)",529.0,28.402646502835537,28.0,43.0,87.33047295128897
"[87.58,88.07)",658.0,28.180851063829788,28.0,40.0,87.82526316631044
"[88.07,88.57)",757.0,28.141347424042273,28.0,40.0,88.3200533813319
"[88.57,89.06)",882.0,28.29138321995465,28.0,41.0,88.81484359635337
"[89.06,89.56)",980.0,28.448979591836736,28.0,41.0,89.30963381137484
"[89.56,90.05)",1134.0,27.94973544973545,28.0,40.0,89.8044240263963
"[90.05,90.55)",1291.0,27.804027885360185,27.0,40.0,90.29921424141777
"[90.55,91.04)",1441.0,27.968077723802914,27.0,40.0,90.79400445643924
"[91.04,91.54)",1576.0,27.879441624365484,27.0,40.0,91.2887946714607
"[91.54,92.03)",1769.0,27.662521198417185,27.0,40.0,91.78358488648217
"[92.03,92.53)",1998.0,27.84984984984985,27.0,40.0,92.27837510150364
"[92.53,93.02)",2094.0,27.755969436485195,27.0,40.0,92.77316531652511
"[93.02,93.52)",2321.0,27.651012494614392,27.0,40.0,93.26795553154658
"[93.52,94.01)",2549.0,27.788152216555513,27.0,40.0,93.76274574656804
"[94.01,94.50)",2762.0,27.57820419985518,27.0,40.0,94.25753596158951
"[94.50,95.00)",2855.0,27.683012259194395,27.0,40.0,94.75232617661098
"[95.00,95.49)",3043.0,27.84620440354913,27.0,40.0,95.24711639163245
"[95.49,95.99)",3301.0,27.574371402605273,27.0,40.0,95.74190660665391
