x_bin,count,mean,median,std,p95,x_mid
"[10.87,11.11)",2.0,160.71203160987207,160.71203160987207,0.0,160.71203160987207,10.991192760530051
"[11.11,11.35)",4.0,116.66980657606766,128.23453541862676,39.30779853007019,147.6341613778183,11.227562497315642
"[11.35,11.58)",7.0,130.1209022488103,120.59327228390477,41.879279146757284,182.6987112749899,11.463932234101236
"[11.58,11.82)",5.0,114.12431301680363,109.179654311428,27.806830594936116,147.65202261017615,11.700301970886827
"[11.82,12.05)",3.0,136.35804930475527,143.2001734897355,31.78092158753456,162.0645859414437,11.93667170767242
"[12.05,12.29)",1.0,192.68964665012817,192.68964665012817,,192.68964665012817,12.173041444458011
"[12.29,12.53)",2.0,91.54721012485794,91.54721012485794,55.06608757059491,126.59105366597987,12.409411181243605
"[12.53,12.76)",4.0,157.3319586539272,154.54582696256801,12.973884146781852,172.54822171446963,12.645780918029196
"[12.76,13.00)",5.0,146.49491932394812,141.66170217777537,25.024880299715164,175.82109207617924,12.88215065481479
"[13.00,13.24)",7.0,111.78382354278153,127.36037743282289,58.226164551026535,174.7986549289767,13.11852039160038
"[13.24,13.47)",8.0,141.54124124795322,154.27099894872418,63.14547620723665,199.61656346661675,13.354890128385975
"[13.47,13.71)",8.0,108.64274512606147,109.17583444833552,55.03364982371315,181.49033964802112,13.591259865171565
"[13.71,13.95)",5.0,113.10069318261966,117.63494542752018,16.987185360389965,130.8577393959281,13.82762960195716
"[13.95,14.18)",2.0,120.47706018431339,120.47706018431339,95.74128726815013,181.4064423044678,14.06399933874275
"[14.18,14.42)",12.0,143.48020853697346,158.76265547650854,51.38400612257828,195.23696295921044,14.300369075528344
"[14.42,14.65)",6.0,120.1221557179765,140.22902690542318,63.4592922449031,179.90275843522664,14.536738812313935
"[14.65,14.89)",9.0,125.2231447022733,104.71489539826575,45.27639292117823,195.63998331230073,14.773108549099529
"[14.89,15.13)",4.0,121.32287608670879,130.0755189304689,52.2482248492782,169.06876214080373,15.00947828588512
"[15.13,15.36)",10.0,178.75280358509497,189.31819256110856,18.809985583781188,195.05514119756296,15.245848022670714
"[15.36,15.60)",7.0,157.94135289247157,179.5065636072976,43.789620761684525,191.25141060487994,15.482217759456304
"[15.60,15.84)",15.0,180.51569012361645,181.89807293761345,20.889964955153637,197.9145597419823,15.718587496241899
"[15.84,16.07)",5.0,154.52414796918356,170.53783285150743,53.84326257116568,190.31533980941816,15.954957233027491
