t_start,t_end,duration_s,alt_gain_m,climb_rate_ms,lat,lon,cluster_id
18947,18982,35,86,2.4571428571428573,-30.73602453703704,116.93711342592593,52
19003,19026,23,64,2.782608695652174,-30.738390972222223,116.93697916666666,53
19039,19066,27,67,2.4814814814814814,-30.74081130952381,116.93754226190477,54
19069,19101,32,78,2.4375,-30.74227323232323,116.9370121212121,55
19113,19133,20,49,2.45,-30.744150793650793,116.93741666666669,56
19261,19299,38,88,2.3157894736842106,-30.716811965811967,116.90634615384614,57
19334,19360,26,51,1.9615384615384615,-30.719598765432096,116.9075777777778,58
19622,19661,39,111,2.8461538461538463,-30.649423333333335,116.87956666666666,59
19662,19682,20,56,2.8,-30.64962777777778,116.88003015873012,60
19683,19704,21,68,3.238095238095238,-30.650612121212124,116.88076818181817,61
19709,19762,53,139,2.6226415094339623,-30.651463888888888,116.88135000000003,62
20247,20299,52,197,3.7884615384615383,-30.503232389937107,116.79728742138366,63
20300,20337,37,117,3.1621621621621623,-30.503283333333336,116.79845350877191,64
20359,20491,132,562,4.257575757575758,-30.506671052631585,116.79852807017544,65
20501,20526,25,74,2.96,-30.5083891025641,116.8002583333333,66
20528,20552,24,71,2.9583333333333335,-30.509027333333332,116.80104866666669,67
21403,21430,27,82,3.037037037037037,-30.216234523809522,116.66311250000001,68
21432,21457,25,69,2.76,-30.217350641025646,116.66431666666668,69
21459,21557,98,289,2.9489795918367347,-30.219336363636366,116.66692239057241,70
21558,21579,21,58,2.761904761904762,-30.221782575757572,116.66888863636363,71
21585,21634,49,139,2.836734693877551,-30.22393166666666,116.67083866666668,72
21636,21658,22,62,2.8181818181818183,-30.225739130434782,116.67219710144927,73
21667,21707,40,119,2.975,-30.22649756097561,116.6740162601626,74
21710,21735,25,57,2.28,-30.226755128205124,116.67619871794871,75
21741,21763,22,88,4.0,-30.228853623188407,116.67783985507246,76
21771,21821,50,180,3.6,-30.23093006535948,116.67986732026145,77
21822,21853,31,76,2.4516129032258065,-30.232533854166668,116.68151979166666,78
22360,22394,34,169,4.970588235294118,-30.122946666666667,116.68816142857142,79
22395,22426,31,94,3.032258064516129,-30.124344791666665,116.68884322916666,80
22873,22894,21,92,4.380952380952381,-30.178187878787877,116.89992045454545,81
22920,22943,23,70,3.0434782608695654,-30.181029861111114,116.90312708333333,82
23068,23095,27,74,2.740740740740741,-30.187435119047613,116.90890297619046,83
23101,23128,27,61,2.259259259259259,-30.18883392857143,116.90889404761904,84
23630,23659,29,80,2.7586206896551726,-30.237222777777777,117.09587111111112,85
23695,23737,42,132,3.142857142857143,-30.23753953488372,117.09566666666666,86
23740,23761,21,71,3.380952380952381,-30.237707575757575,117.09580757575759,87
23797,23841,44,119,2.7045454545454546,-30.239735185185182,117.09842259259258,88
23850,23877,27,52,1.9259259259259258,-30.241413095238098,117.09994107142859,89
24317,24337,20,93,4.65,-30.275222222222222,117.32706825396826,90
24350,24379,29,59,2.0344827586206895,-30.27690666666667,117.32890555555558,91
24398,24423,25,56,2.24,-30.277663461538467,117.32968846153845,92
24424,24444,20,38,1.9,-30.27816111111112,117.32968174603172,93
25277,25298,21,54,2.5714285714285716,-30.344803787878792,117.47386136363635,94
25525,25717,192,965,5.026041666666667,-30.381544732297066,117.47340613126077,95
25722,25789,67,401,5.985074626865671,-30.386978921568623,117.47656348039214,96
26451,26472,21,64,3.0476190476190474,-30.43083181818182,117.78537954545453,97
26498,26518,20,52,2.6,-30.431324603174602,117.7882095238095,98
26961,26991,30,142,4.733333333333333,-30.451812365591397,118.03509569892472,99
27092,27127,35,129,3.6857142857142855,-30.466741666666664,118.05759398148149,100
27129,27159,30,118,3.933333333333333,-30.467280107526882,118.0588623655914,101
27161,27245,84,260,3.0952380952380953,-30.470258431372553,118.05992764705881,102
28244,28273,29,82,2.8275862068965516,-30.631943333333332,118.33150833333337,103
28309,28331,22,62,2.8181818181818183,-30.632021014492754,118.33291811594204,104
28332,28383,51,173,3.392156862745098,-30.6329141025641,118.33406570512821,105
28384,28510,126,376,2.984126984126984,-30.634463123359584,118.33654002624671,106
29046,29095,49,192,3.9183673469387754,-30.812448666666665,118.16433866666668,107
29098,29193,95,310,3.263157894736842,-30.8143171875,118.16744600694445,108
29221,29253,32,70,2.1875,-30.816602020202023,118.17180252525253,109
29254,29284,30,104,3.466666666666667,-30.819347849462357,118.16495322580644,110
29871,29901,30,62,2.066666666666667,-30.99642956989247,117.97107634408604,111
29909,29931,22,44,2.0,-30.995800724637682,117.97230579710144,112
29933,29959,26,67,2.576923076923077,-30.99614444444444,117.97322407407407,113
29967,29988,21,50,2.380952380952381,-30.99626742424242,117.97494242424244,114
29989,30014,25,63,2.52,-30.99655064102564,117.97591987179489,115
30017,30054,37,93,2.5135135135135136,-30.996545614035085,117.97812938596493,116
30057,30079,22,59,2.6818181818181817,-30.995887681159417,117.9795304347826,117
30116,30178,62,132,2.129032258064516,-30.997341005291016,117.98379920634923,118
30182,30211,29,69,2.3793103448275863,-30.99771333333333,117.98637888888888,119
31299,31382,83,345,4.156626506024097,-31.291084722222216,117.68032876984128,120
31383,31417,34,134,3.9411764705882355,-31.291152380952383,117.68241095238098,121
32237,32274,37,108,2.918918918918919,-31.52332543859649,117.39149166666668,122
