t_start,t_end,duration_s,alt_gain_m,climb_rate_ms,lat,lon,cluster_id
20117,20196,79,112,1.4177215189873418,-30.249210714285713,116.642875,47
20249,20519,270,1018,3.77037037037037,-30.246384848484848,116.64984545454544,48
20524,20719,195,570,2.923076923076923,-30.25368208333333,116.65464749999998,49
21698,21725,27,154,5.703703703703703,-30.508312,117.11792799999999,50
21771,21805,34,103,3.0294117647058822,-30.513842424242423,117.11965454545454,51
21835,21865,30,70,2.3333333333333335,-30.512949999999996,117.12117857142857,52
22266,22309,43,91,2.116279069767442,-30.629849999999998,117.29669999999999,53
22330,22579,249,715,2.8714859437751006,-30.636487037037032,117.305300308642,54
22703,22724,21,185,8.80952380952381,-30.683150757575753,117.36736818181816,55
22902,23138,236,627,2.656779661016949,-30.740909064327486,117.45994356725146,56
23571,23624,53,129,2.4339622641509435,-30.87748214285714,117.67418214285715,57
23940,24018,78,172,2.2051282051282053,-30.960130701754384,117.79338947368421,58
24356,24378,22,204,9.272727272727273,-31.061747826086958,117.97415434782606,59
24929,24953,24,156,6.5,-31.207348000000003,118.26034933333334,60
24972,25027,55,109,1.981818181818182,-31.210513888888887,118.25995972222223,61
25423,25453,30,108,3.6,-31.313062903225802,118.44782903225804,62
25456,25811,355,1145,3.2253521126760565,-31.31543684210526,118.45782938596491,63
25816,25841,25,81,3.24,-31.31634722222222,118.46495555555555,64
25846,25981,135,359,2.6592592592592594,-31.318161904761897,118.46648333333333,65
26055,26075,20,57,2.85,-31.33137,118.48190666666667,66
26379,26431,52,211,4.0576923076923075,-31.41728218390805,118.494758045977,67
26436,26496,60,189,3.15,-31.417346153846157,118.49565128205128,68
26501,26552,51,124,2.4313725490196076,-31.418253030303028,118.49810757575757,69
27419,27439,20,107,5.35,-31.542017460317464,118.03198492063491,70
28078,28132,54,237,4.388888888888889,-31.612584444444444,117.78946222222223,71
28137,28312,175,731,4.177142857142857,-31.617541666666668,117.78873101851852,72
28317,28367,50,157,3.14,-31.620519696969698,117.7882818181818,73
28372,28402,30,91,3.033333333333333,-31.620780952380954,117.78764047619048,74
28407,28497,90,219,2.433333333333333,-31.624028070175434,117.78719210526314,75
28537,28562,25,79,3.16,-31.629338888888892,117.78955,76
28572,28622,50,163,3.26,-31.631078787878792,117.79018333333335,77
28627,28652,25,94,3.76,-31.632099999999994,117.79089722222223,78
28657,28682,25,81,3.24,-31.633319444444442,117.79107500000002,79
29391,29491,100,156,1.56,-31.77386349206349,117.49533809523808,80
29496,29572,76,108,1.4210526315789473,-31.77726666666667,117.49495729166667,81
29597,29617,20,39,1.95,-31.78143,117.49664,82
29627,29697,70,76,1.0857142857142856,-31.784352222222218,117.49689111111113,83
30104,30131,27,132,4.888888888888889,-31.884674404761906,117.3181125,84
30132,30158,26,53,2.0384615384615383,-31.884895238095243,117.31824523809523,85
30163,30198,35,57,1.6285714285714286,-31.886277083333333,117.31967916666667,86
30208,30233,25,34,1.36,-31.888180555555554,117.32187499999999,87
30679,30709,30,38,1.2666666666666666,-31.983090476190476,117.16210238095239,88
